hotel_name,reg,state,types,cus_name,phone_no,emel,customer_rating,membership,rep_guest,prev_cancel,payment_method,card_no,resv_status,meal,assgn_room,cus_seg,room-type,adult,(child),dis_channel,price,nights,package_,gross,disc,disc_amt,sales,dep,d_s,arrival_date,depature_date,ADR,Sales Person ,pos,comm_pay,customer_review
"Lexis Suites, Penang",North,Penang ,City Hotel ,Amanda Palmer,189-432-6396,APalmer@xfinity.com,3,Gold,0,0,Cash,************3209,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,5,100,"2,750",5%,138,"2,713",300, Refunded  ,15/10/2024,20/10/2024,128,Kelly,Sales Executive,15,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Jennifer Burton,969-363-1592,Jennifer.Burton@mail.com,2,Gold,0,0,Credit Card,************3421,Check-Out,BB,D,Family,Deluxe Room,2,1,Direct,650,7,420,"4,550",5%,228,"4,743",300, Refunded  ,24/07/2024,31/07/2024,146,Leo,Sales Manager,20,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Melissa Simmons,771-407-8898,Melissa_S48@att.com,5,Platinum,0,0,Credit Card,************1937,Check-Out,BB,A,Family,Studio,3, -   ,Booking.com,"1,650",5,300,"8,250",10%,825,"7,725",300, Refunded  ,09/11/2024,14/11/2024,131,Kelly,Sales Executive,25,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Charles Gonzalez,273-181-8316,Gonzalez_Charles@comcast.net,4,Gold,0,0,Credit Card,************9595,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Agoda,650,8,320,"5,200",5%,260,"5,260",300, Refunded  ,16/01/2024,24/01/2024,98,Kelly,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Bryan Vega,882-960-8272,Bryan.V59@verizon.com,3,Gold,0,0,Cash,************3548,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Booking.com,650,9,360,"5,850",5%,293,"5,918",300, Refunded  ,20/10/2024,29/10/2024,161,Leo,Sales Manager,20,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Susan Lucas,679-064-2053,Lucas_Susan55@aol.com,3,Gold,0,0,Online Transfer,************1662,Check-Out,BB,D,Family,Single Room,1,1,Agoda,550,2,80,"1,100",5%,55,"1,125",300, Refunded  ,09/08/2024,11/08/2024,79.5,Leo,Sales Manager,15,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Victoria Campos,375-381-0424,Victoria.C@mail.com,4,Platinum,0,0,Online Transfer,************1494,Check-Out,BB,E,Corporate,Single Room,1, -   ,Booking.com,550,7,140,"3,850",10%,385,"3,605",300, Refunded  ,21/03/2024,28/03/2024,126.29,Leo,Sales Manager,15,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Abigail Rivera,272-317-7426,Abigail_Rivera@mail.com,4,Gold,0,0,Credit Card,************1630,Check-Out,HB,D,Corporate,Studio,3, -   ,Agoda,"1,650",11,660,"18,150",5%,908,"17,903",300, Refunded  ,20/06/2024,01/07/2024,105.5,Kelly,Sales Executive,25,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,David Prince,131-530-5283,Prince.David@yandex.com,4,Platinum,0,0,Online Transfer,************8080,Check-Out,HB,H,Corporate,Studio,3, -   ,Agoda,"1,650",5,300,"8,250",10%,825,"7,725",300, Refunded  ,18/04/2024,23/04/2024,208.14,Amy,Sales Executive,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Wendy Hansen,277-749-6449,Wendy_H11@comcast.net,3,Platinum,0,0,Online Transfer,************3733,Check-Out,BB,D,Family,Deluxe Room,2,1,Booking.com,650,1,60,650,10%,65,645,300, Refunded  ,27/07/2024,28/07/2024,103.85,Amy,Sales Executive,20,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Aimee Davenport,412-112-0298,Davenport_Aimee53@zoho.com,5,Gold,0,0,Online Transfer,************2477,Check-Out,BB,D,Corporate,Single Room,1, -   ,Agoda,550,4,80,"2,200",5%,110,"2,170",300, Refunded  ,21/05/2024,25/05/2024,79.5,Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Charles Galvan,190-281-1100,Galvan.Charles@zoho.com,4,Platinum,0,0,Cash,************7920,Check-Out,BB,G,Corporate,Single Room,1, -   ,Agoda,550,14,280,"7,700",10%,770,"7,210",300, Refunded  ,28/11/2024,12/12/2024,113,Leo,Sales Manager,15,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Brian Klein,587-928-6308,BrianKlein@hotmail.com,5,Gold,0,0,Cash,************5395,Check-Out,HB,F,Corporate,Single Room,1, -   ,Agoda,550,7,140,"3,850",5%,193,"3,798",300, Refunded  ,05/02/2024,12/02/2024,163,Amy,Sales Executive,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Laura Franklin,505-264-7400,Laura_F@att.com,3,Gold,0,0,Credit Card,************2228,Check-Out,HB,D,Family,Single Room,1,1,Direct,550,5,200,"2,750",5%,138,"2,813",300, Refunded  ,02/06/2024,07/06/2024,107.5,Leo,Sales Manager,15,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Anthony Pena,925-286-5856,Anthony.P40@att.com,5,Gold,0,0,Cash,************8221,Check-Out,BB,E,Corporate,Single Room,1, -   ,Direct,550,10,200,"5,500",5%,275,"5,425",300, Refunded  ,05/12/2024,15/12/2024,97.5,Leo,Sales Manager,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Wendy Henderson,128-478-8178,Wendy_Henderson@zoho.com,2,Gold,0,0,Credit Card,************6858,Check-Out,BB,D,Corporate,Deluxe Room,2, -   ,Direct,650,8,320,"5,200",5%,260,"5,260",300, Refunded  ,20/06/2024,28/06/2024,113,Kelly,Sales Executive,20,Poor
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Charles Kirk,673-488-5996,Kirk.Charles22@zoho.com,3,Gold,0,0,Credit Card,************5376,Check-Out,BB,D,Corporate,Deluxe Room,2, -   ,Agoda,650,4,160,"2,600",5%,130,"2,630",300, Refunded  ,20/11/2024,24/11/2024,66.15,Amy,Sales Executive,20,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Toni Frank,369-513-1031,Toni.Frank52@protonmail.com,3,Platinum,0,0,Credit Card,************5903,Check-Out,HB,E,Individual,Royal Suite ,3,2,Direct,"1,800",8,800,"14,400",10%,"1,440","13,760",300, Refunded  ,19/12/2024,27/12/2024,99.8,Amy,Sales Executive,30,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Andrew Barrera,768-952-3926,ABarrera80@att.com,2,Gold,0,0,Online Transfer,************6298,Check-Out,HB,E,Corporate,Deluxe Room,2, -   ,Direct,650,6,240,"3,900",5%,195,"3,945",300, Refunded  ,24/09/2024,30/09/2024,111.96,Kelly,Sales Executive,20,Poor
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Thomas Kim,450-947-2722,TKim80@gmail.com,2,Platinum,0,0,Online Transfer,************7560,Check-Out,BB,G,Family,Studio,3, -   ,Booking.com,"1,650",8,480,"13,200",10%,"1,320","12,360",300, Refunded  ,14/10/2024,22/10/2024,139.18,Kelly,Sales Executive,25,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Christopher Wilkerson,123-413-8303,CWilkerson@protonmail.com,5,Platinum,0,0,Credit Card,************7446,Check-Out,BB,A,Corporate,Single Room,1, -   ,Direct,550,13,260,"7,150",10%,715,"6,695",300, Refunded  ,12/04/2024,25/04/2024,83.15,Leo,Sales Manager,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,John Sanchez,756-875-4857,JSanchez58@protonmail.com,3,Platinum,0,0,Online Transfer,************5474,Check-Out,BB,A,Family,Deluxe Room,2,1,Direct,650,8,480,"5,200",10%,520,"5,160",300, Refunded  ,02/08/2024,10/08/2024,0,Amy,Sales Executive,20,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Bradley Jenkins,688-639-7042,BJenkins29@yahoo.com,3,Gold,0,0,Online Transfer,************8699,Check-Out,BB,D,Corporate,Single Room,1, -   ,Direct,550,3,60,"1,650",5%,83,"1,628",300, Refunded  ,28/03/2024,31/03/2024,77.6,Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Carolyn Salazar,413-102-4522,Carolyn_S87@xfinity.com,3,Gold,0,0,Online Transfer,************6761,Check-Out,HB,C,Corporate,Single Room,1, -   ,Agoda,550,9,180,"4,950",5%,248,"4,883",300, Refunded  ,16/09/2024,25/09/2024,144.9,Amy,Sales Executive,15,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Ashley Smith,641-274-0379,Smith_Ashley@yandex.com,4,Platinum,0,0,Cash,************8233,Check-Out,HB,C,Individual,Studio,3, -   ,Direct,"1,650",8,480,"13,200",10%,"1,320","12,360",300, Refunded  ,01/08/2024,09/08/2024,161,Kelly,Sales Executive,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Stanley Hall,760-941-5974,Hall_Stanley@aol.com,4,Gold,0,0,Credit Card,************9443,Check-Out,BB,A,Individual,Royal Suite ,3,2,Direct,"1,800",11,"1,100","19,800",5%,990,"19,910",300, Refunded  ,09/06/2024,20/06/2024,131,Amy,Sales Executive,30,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Drew Wolf,722-240-4581,Wolf_Drew@hotmail.com,3,Gold,0,0,Online Transfer,************2080,Check-Out,BB,E,Corporate,Single Room,1, -   ,Direct,550,1,20,550,5%,28,543,300, Refunded  ,07/05/2024,08/05/2024,131,Kelly,Sales Executive,15,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Jamie Campbell,997-917-5012,Campbell_Jamie@gmail.com,4,Gold,0,0,Credit Card,************4936,Check-Out,HB,A,Corporate,Studio,3, -   ,Agoda,"1,650",10,600,"16,500",5%,825,"16,275",300, Refunded  ,02/11/2024,12/11/2024,188,Kelly,Sales Executive,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Clayton Jennings MD,135-880-2973,ClaytonMD@verizon.com,5,Gold,0,0,Cash,************9187,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,14,280,"7,700",5%,385,"7,595",300, Refunded  ,11/12/2024,25/12/2024,64.29,Amy,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Ashley Franco,522-128-9370,Ashley_Franco@att.com,2,Platinum,0,0,Credit Card,************1611,Check-Out,BB,A,Individual,Single Room,1,1,Booking.com,550,13,520,"7,150",10%,715,"6,955",300, Refunded  ,06/02/2024,19/02/2024,98,Amy,Sales Executive,15,Poor
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Angela Burns,990-427-3715,ABurns@outlook.com,2,Platinum,0,0,Cash,************3333,Check-Out,BB,E,Corporate,Single Room,1, -   ,Direct,550,11,220,"6,050",10%,605,"5,665",300, Refunded  ,27/01/2024,07/02/2024,123,Amy,Sales Executive,15,Poor
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Amanda Roberts,620-655-7765,Amanda.R@xfinity.com,5,Gold,0,0,Credit Card,************3734,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Booking.com,650,11,440,"7,150",5%,358,"7,233",300, Refunded  ,18/01/2024,29/01/2024,117.29,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Catherine Mitchell,845-668-2670,Catherine_M@yahoo.com,3,Gold,0,0,Cash,************8650,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,6,120,"3,300",5%,165,"3,255",300, Refunded  ,26/06/2024,02/07/2024,98,Kelly,Sales Executive,15,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,David Atkins,132-049-3818,DAtkins@zoho.com,4,Platinum,0,0,Credit Card,************8261,Check-Out,SC,I,Individual,Deluxe Room,1,2,Direct,650,10,600,"6,500",10%,650,"6,450",300, Refunded  ,11/03/2024,21/03/2024,0,Amy,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Heidi Woodward,196-198-7402,Woodward.Heidi@comcast.net,5,Gold,0,0,Online Transfer,************6616,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,2,40,"1,100",5%,55,"1,085",300, Refunded  ,09/04/2024,11/04/2024,75.96,Amy,Sales Executive,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Alyssa Williams,336-984-2779,Williams_Alyssa@att.com,2,Gold,0,0,Credit Card,************2949,Check-Out,HB,A,Corporate,Deluxe Room,2, -   ,Direct,650,1,40,650,5%,33,658,300, Refunded  ,16/02/2024,17/02/2024,83.5,Amy,Sales Executive,20,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Michael Hurley,761-571-5280,Hurley.Michael18@comcast.net,3,Platinum,0,0,Cash,************2592,Check-Out,BB,C,Corporate,Deluxe Room,2, -   ,Booking.com,650,10,400,"6,500",10%,650,"6,250",300, Refunded  ,24/02/2024,05/03/2024,131,Kelly,Sales Executive,20,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Robert Williams,338-792-6678,Robert_Williams@verizon.com,4,Platinum,0,0,Credit Card,************7463,Check-Out,BB,A,Family,Royal Suite ,3,2,Direct,"1,800",5,500,"9,000",10%,900,"8,600",300, Refunded  ,11/03/2024,16/03/2024,84.47,Kelly,Sales Executive,30,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Elizabeth Freeman MD,951-028-8204,MD_Elizabeth@mail.com,5,Platinum,0,0,Cash,************6650,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Direct,650,15,600,"9,750",10%,975,"9,375",300, Refunded  ,13/05/2024,28/05/2024,84.47,Kelly,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Jill Wells,871-845-5173,JillWells@mail.com,2,Platinum,0,0,Credit Card,************8662,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Direct,650,8,320,"5,200",10%,520,"5,000",300, Refunded  ,14/06/2024,22/06/2024,84.47,Amy,Sales Executive,20,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Carol Green,991-776-6363,Carol_G@hotmail.com,3,Gold,0,0,Credit Card,************9269,Check-Out,BB,E,Corporate,Single Room,1, -   ,Direct,550,8,160,"4,400",5%,220,"4,340",300, Refunded  ,06/09/2024,14/09/2024,156,Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Dean Wallace,734-266-4062,DeanWallace@mail.com,3,Platinum,0,0,Cash,************9661,Check-Out,BB,A,Individual,Royal Suite ,3,2,Booking.com,"1,800",11,"1,100","19,800",10%,"1,980","18,920",300, Refunded  ,26/03/2024,06/04/2024,98,Amy,Sales Executive,30,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Douglas Sanchez,305-207-6830,Douglas_Sanchez@comcast.net,4,Platinum,0,0,Online Transfer,************4905,Check-Out,BB,A,Corporate,Single Room,1, -   ,Agoda,550,15,300,"8,250",10%,825,"7,725",300, Refunded  ,21/08/2024,05/09/2024,117.9,Amy,Sales Executive,15,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Elizabeth Mitchell,387-884-7594,Mitchell.Elizabeth@protonmail.com,5,Platinum,0,0,Online Transfer,************8720,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Agoda,650,14,560,"9,100",10%,910,"8,750",300, Refunded  ,06/03/2024,20/03/2024,98,Amy,Sales Executive,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Samuel Brown,878-576-3641,SamuelBrown@hotmail.com,2,Platinum,0,0,Cash,************8065,Check-Out,HB,C,Corporate,Single Room,1, -   ,Booking.com,550,11,220,"6,050",10%,605,"5,665",300, Refunded  ,03/11/2024,14/11/2024,101.53,Amy,Sales Executive,15,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Zachary Moore,592-888-7710,Zachary.M57@yandex.com,4,Gold,0,0,Online Transfer,************9227,Check-Out,HB,C,Family,Deluxe Room,1,2,Booking.com,650,7,420,"4,550",5%,228,"4,743",300, Refunded  ,28/01/2024,04/02/2024,97.54,Amy,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Michael Cohen,354-138-6709,Michael.C@gmail.com,4,Gold,0,0,Credit Card,************6273,Check-Out,HB,A,Family,Studio,3, -   ,Agoda,"1,650",12,720,"19,800",5%,990,"19,530",300, Refunded  ,17/08/2024,29/08/2024,91.5,Leo,Sales Manager,25,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,David Harris,888-495-4899,Harris.David@aol.com,3,Platinum,0,0,Online Transfer,************4210,Check-Out,BB,D,Individual,Studio,3, -   ,Booking.com,"1,650",12,720,"19,800",10%,"1,980","18,540",300, Refunded  ,10/03/2024,22/03/2024,113,Kelly,Sales Executive,25,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Taylor Freeman,702-742-4887,Taylor.Freeman83@comcast.net,3,Platinum,0,0,Cash,************9257,Check-Out,BB,A,Corporate,Single Room,1, -   ,Direct,550,16,320,"8,800",10%,880,"8,240",300, Refunded  ,04/06/2024,20/06/2024,58.95,Leo,Sales Manager,15,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Samantha Moreno,829-017-9240,Samantha_M@xfinity.com,4,Gold,0,0,Credit Card,************4739,Check-Out,BB,G,Family,Deluxe Room,1,2,Booking.com,650,10,600,"6,500",5%,325,"6,775",300, Refunded  ,09/07/2024,19/07/2024,133,Leo,Sales Manager,20,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Michael Williams,123-125-7752,Michael.W68@comcast.net,4,Platinum,0,0,Credit Card,************3953,Check-Out,BB,E,Corporate,Deluxe Room,2, -   ,Agoda,650,13,520,"8,450",10%,845,"8,125",300, Refunded  ,08/06/2024,21/06/2024,76.5,Amy,Sales Executive,20,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Mr. Cory Reynolds,162-549-5393,Mr..Reynolds@zoho.com,2,Gold,0,0,Cash,************8680,Check-Out,BB,F,Corporate,Single Room,1, -   ,Agoda,550,1,20,550,5%,28,543,300, Refunded  ,26/04/2024,27/04/2024,146,Kelly,Sales Executive,15,Poor
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Tammy Green,234-071-9121,Tammy.G@att.com,3,Gold,0,0,Credit Card,************2451,Check-Out,BB,F,Corporate,Single Room,1, -   ,Direct,550,15,300,"8,250",5%,413,"8,138",300, Refunded  ,15/12/2024,30/12/2024,146,Leo,Sales Manager,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Anna Shaw MD,773-211-5981,AMD@zoho.com,3,Gold,0,0,Credit Card,************1328,Check-Out,BB,A,Family,Royal Suite ,3,2,Agoda,"1,800",9,900,"16,200",5%,810,"16,290",300, Refunded  ,02/03/2024,11/03/2024,80,Leo,Sales Manager,30,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Kimberly Espinoza,585-125-5148,Kimberly.Espinoza@verizon.com,4,Gold,0,0,Credit Card,************8188,Check-Out,BB,A,Individual,Studio,3, -   ,Booking.com,"1,650",10,600,"16,500",5%,825,"16,275",300, Refunded  ,02/08/2024,12/08/2024,68.5,Leo,Sales Manager,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Melanie Riddle,379-321-1470,Melanie_Riddle@outlook.com,3,Gold,0,0,Credit Card,************6449,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,14,280,"7,700",5%,385,"7,595",300, Refunded  ,10/11/2024,24/11/2024,146,Amy,Sales Executive,15,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Samuel Bennett,482-267-1541,Samuel_Bennett18@gmail.com,5,Gold,0,0,Credit Card,************5307,Check-Out,BB,E,Corporate,Deluxe Room,2, -   ,Agoda,650,2,80,"1,300",5%,65,"1,315",300, Refunded  ,08/03/2024,10/03/2024,124.8,Amy,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Rachel Williams,531-268-8919,Williams_Rachel70@hotmail.com,5,Platinum,0,0,Cash,************7353,Check-Out,BB,A,Family,Royal Suite ,3,2,Booking.com,"1,800",12,"1,200","21,600",10%,"2,160","20,640",300, Refunded  ,26/01/2024,07/02/2024,131,Leo,Sales Manager,30,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Kenneth Carroll,858-316-9761,Carroll_Kenneth21@aol.com,2,Platinum,0,0,Online Transfer,************2634,Check-Out,BB,D,Corporate,Deluxe Room,2, -   ,Direct,650,10,400,"6,500",10%,650,"6,250",300, Refunded  ,24/07/2024,03/08/2024,146,Leo,Sales Manager,20,Poor
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Sherry Howell,875-410-7104,Sherry.Howell@zoho.com,3,Platinum,0,0,Online Transfer,************3914,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Direct,650,1,40,650,10%,65,625,300, Refunded  ,28/03/2024,29/03/2024,134,Leo,Sales Manager,20,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Jordan Harris,713-413-8528,Jordan_H@yahoo.com,2,Platinum,0,0,Cash,************6266,Check-Out,BB,D,Corporate,Single Room,1, -   ,Direct,550,14,280,"7,700",10%,770,"7,210",300, Refunded  ,25/06/2024,09/07/2024,86.69,Kelly,Sales Executive,15,Poor
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Bonnie Reed,184-843-7419,BonnieReed51@mail.com,2,Gold,0,0,Online Transfer,************9962,Check-Out,BB,A,Family,Deluxe Room,1,2,Booking.com,650,14,840,"9,100",5%,455,"9,485",300, Refunded  ,25/06/2024,09/07/2024,124.4,Amy,Sales Executive,20,Poor
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Stephen Hill,805-608-5535,Stephen.Hill92@comcast.net,3,Platinum,0,0,Credit Card,************2195,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,7,140,"3,850",10%,385,"3,605",300, Refunded  ,17/07/2024,24/07/2024,65.7,Leo,Sales Manager,15,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Sylvia Santana,534-823-1838,Santana.Sylvia@yandex.com,3,Platinum,0,0,Cash,************8134,Check-Out,BB,A,Corporate,Studio,3, -   ,Booking.com,"1,650",12,720,"19,800",10%,"1,980","18,540",300, Refunded  ,03/03/2024,15/03/2024,77.7,Amy,Sales Executive,25,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Michael Buck,702-159-1769,MBuck@yandex.com,3,Platinum,0,0,Online Transfer,************4823,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Booking.com,650,2,80,"1,300",10%,130,"1,250",300, Refunded  ,08/05/2024,10/05/2024,59,Kelly,Sales Executive,20,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Carrie Small,891-740-0096,Carrie.Small@verizon.com,2,Platinum,0,0,Cash,************8094,Check-Out,HB,A,Family,Deluxe Room,2,2,Direct,650,15,"1,200","9,750",10%,975,"9,975",300, Refunded  ,03/09/2024,18/09/2024,76.5,Leo,Sales Manager,20,Poor
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Nicole Gibbs,974-205-5326,Nicole.Gibbs@mail.com,4,Platinum,0,0,Credit Card,************2241,Check-Out,BB,A,Individual,Studio,3, -   ,Agoda,"1,650",4,240,"6,600",10%,660,"6,180",300, Refunded  ,13/04/2024,17/04/2024,82,Amy,Sales Executive,25,Very Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Gregory Ashley,784-717-9035,GregoryAshley51@outlook.com,3,Gold,0,0,Online Transfer,************2532,Check-Out,BB,A,Corporate,Single Room,1, -   ,Booking.com,550,2,40,"1,100",5%,55,"1,085",300, Refunded  ,30/10/2024,01/11/2024,92.67,Amy,Sales Executive,15,Good
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Thomas Rodriguez,658-391-4836,Thomas.Rodriguez98@yandex.com,4,Gold,0,0,Online Transfer,************7265,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Agoda,650,6,240,"3,900",5%,195,"3,945",300, Refunded  ,09/04/2024,15/04/2024,82,Amy,Sales Executive,20,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Joshua Harrell,123-694-1346,Joshua_H@yahoo.com,3,Platinum,0,0,Credit Card,************1992,Check-Out,BB,A,Individual,Royal Suite ,3,2,Booking.com,"1,800",8,800,"14,400",10%,"1,440","13,760",300, Refunded  ,24/09/2024,02/10/2024,115.4,Leo,Sales Manager,30,Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Derrick Bell,880-940-3497,DBell@yahoo.com,2,Gold,0,0,Credit Card,************3118,Check-Out,HB,A,Individual,Studio,3, -   ,Direct,"1,650",6,360,"9,900",5%,495,"9,765",300, Refunded  ,23/04/2024,29/04/2024,158.4,Leo,Sales Manager,25,Poor
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Paul Gomez,524-185-4830,PaulGomez@verizon.com,2,Platinum,0,0,Online Transfer,************5526,Check-Out,BB,C,Individual,Studio,3, -   ,Direct,"1,650",8,480,"13,200",10%,"1,320","12,360",300, Refunded  ,12/10/2024,20/10/2024,108,Amy,Sales Executive,25,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Antonio Sharp,406-440-7344,Antonio_S80@protonmail.com,3,Platinum,0,0,Credit Card,************9160,Check-Out,BB,E,Corporate,Deluxe Room,2, -   ,Agoda,650,2,80,"1,300",10%,130,"1,250",300, Refunded  ,25/08/2024,27/08/2024,87.05,Amy,Sales Executive,20,Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Tristan Gilbert,113-427-0415,TristanGilbert@protonmail.com,4,Platinum,0,0,Online Transfer,************7935,Check-Out,BB,E,Family,Studio,3,1,Agoda,"1,650",12,960,"19,800",10%,"1,980","18,780",300, Refunded  ,11/08/2024,23/08/2024,70.98,Kelly,Sales Executive,25,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Jennifer Turner,471-187-7784,JenniferTurner@zoho.com,2,Gold,0,0,Cash,************6258,Check-Out,BB,E,Corporate,Deluxe Room,2, -   ,Direct,650,14,560,"9,100",5%,455,"9,205",300, Refunded  ,01/12/2024,15/12/2024,119.7,Leo,Sales Manager,20,Poor
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Jacob Gray,709-728-0568,JacobGray@comcast.net,5,Gold,0,0,Online Transfer,************7753,Check-Out,BB,A,Corporate,Deluxe Room,2, -   ,Booking.com,650,16,640,"10,400",5%,520,"10,520",300, Refunded  ,25/05/2024,10/06/2024,73.8,Amy,Sales Executive,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Andrew Gonzales,397-467-8191,Andrew.Gonzales@xfinity.com,4,Platinum,0,0,Online Transfer,************3284,Check-Out,BB,E,Corporate,Deluxe Room,2, -   ,Booking.com,650,8,320,"5,200",10%,520,"5,000",300, Refunded  ,23/04/2024,01/05/2024,87.05,Kelly,Sales Executive,20,Very Good
